File,annotator_1,annotator_2,annotator_3,Final_Label,annotator_1_upd,annotator_2_upd,annotator_3_upd
output_213.txt,Question,Question,Question,Question,N,N,N
output_160.txt,Question,Question Against,Skeptical,Skeptical,N,A,N
output_249.txt,Question,Question,Question,Question,N,N,N
output_190.txt,Strong Against,Strong Against,Strong Against,Strong Against,A,A,A
output_250.txt,Strong Against,Strong Against,Weak Against,Strong Against,A,A,A
output_228.txt,Weak Favor,Irrelevant,Irrelevant,Irrelevant,F,N,N
output_254.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_241.txt,No Stance,No Stance,No Stance,No Stance,N,N,N
output_223.txt,Skeptical,Strong Against,Weak Against,Weak Against,N,A,A
output_193.txt,Weak Against,Irrelevant,No Stance,Irrelevant,A,N,N
output_266.txt,Question,Question,Irrelevant,Question,N,N,N
output_244.txt,No Stance,No Stance,Weak Against,No Stance,N,N,A
output_192.txt,Question Against,Question,Irrelevant,Question Against,A,N,N
output_153.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_178.txt,Question,Question,Question,Question,N,N,N
output_243.txt,Irrelevant,No Stance,Irrelevant,Irrelevant,N,N,N
output_231.txt,Strong Against,No Stance,Strong Against,Strong Against,A,N,A
output_239.txt,Question Against,Strong Against,Irrelevant,Irrelevant,A,A,N
output_132.txt,Question,Question,Question,Question,N,N,N
output_245.txt,Question,Question,Question,Question,N,N,N
output_220.txt,Irrelevant,No Stance,Irrelevant,No Stance,N,N,N
output_111.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_237.txt,Irrelevant,Weak Against,Irrelevant,Irrelevant,N,A,N
output_279.txt,Skeptical,Skeptical,No Stance,Skeptical,N,N,N
output_246.txt,Skeptical,Skeptical,Weak Against,Skeptical,N,N,A
output_176.txt,No Stance,Irrelevant,Weak Against,Irrelevant,N,N,A
output_284.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_104.txt,Irrelevant,Weak Against,No Stance,Weak Against,N,A,N
output_158.txt,No Stance,Strong Against,No Stance,No Stance,N,A,N
output_210.txt,Question,Skeptical,Question,Question,N,N,N
output_281.txt,No Stance,Weak Against,No Stance,Weak Against,N,A,N
output_128.txt,Irrelevant,No Stance,Irrelevant,Irrelevant,N,N,N
output_293.txt,Question Against,Question Against,Question,Question Against,A,A,N
output_134.txt,Weak Against,Strong Against,No Stance,Strong Against,A,A,N
output_226.txt,No Stance,No Stance,No Stance,No Stance,N,N,N
output_268.txt,Irrelevant,No Stance,No Stance,No Stance,N,N,N
output_287.txt,Question,Question,Question,Question,N,N,N
output_125.txt,Question,Question,No Stance,Question,N,N,N
output_196.txt,Strong Against,Irrelevant,Irrelevant,Irrelevant,A,N,N
output_194.txt,No Stance,Irrelevant,Question,Question,N,N,N
output_116.txt,Weak Against,No Stance,Irrelevant,Weak Against,A,N,N
output_122.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_182.txt,No Stance,No Stance,No Stance,No Stance,N,N,N
output_147.txt,Irrelevant,Question,Irrelevant,Irrelevant,N,N,N
output_177.txt,Skeptical,Strong Against,Irrelevant,Strong Against,N,A,N
output_203.txt,Strong Favor,Question Favor,Strong Favor,Question Favor,F,F,F
output_201.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_159.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_172.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_155.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_186.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_259.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_107.txt,Question,Question,No Stance,Question,N,N,N
output_110.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_253.txt,Question,Question,Irrelevant,Question,N,N,N
output_294.txt,No Stance,Irrelevant,No Stance,Irrelevant,N,N,N
output_282.txt,Skeptical,No Stance,Irrelevant,Skeptical,N,N,N
output_121.txt,Strong Against,Strong Against,Strong Against,Strong Against,A,A,A
output_217.txt,Strong Against,Question Against,Weak Against,Question Against,A,A,A
output_195.txt,Irrelevant,Weak Against,Irrelevant,Irrelevant,N,A,N
output_137.txt,Skeptical,No Stance,No Stance,No Stance,N,N,N
output_218.txt,Strong Favor,No Stance,No Stance,No Stance,F,N,N
output_230.txt,No Stance,Irrelevant,No Stance,No Stance,N,N,N
output_240.txt,Question Against,Question Against,Question Against,Question Against,A,A,A
output_298.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_277.txt,Question,Question,Question,Question,N,N,N
output_267.txt,Skeptical,Skeptical,Strong Against,Skeptical,N,N,A
output_286.txt,Irrelevant,No Stance,Irrelevant,Irrelevant,N,N,N
output_224.txt,No Stance,No Stance,No Stance,No Stance,N,N,N
output_199.txt,Question,Question Against,Question,Question Against,N,A,N
output_126.txt,Weak Favor,Weak Favor,Strong Favor,Strong Favor,F,F,F
output_221.txt,Strong Against,Strong Against,Strong Against,Strong Against,A,A,A
output_191.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_198.txt,Irrelevant,Strong Favor,Irrelevant,Irrelevant,N,F,N
output_204.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_219.txt,Skeptical,Skeptical,Strong Against,Skeptical,N,N,A
output_123.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_206.txt,No Stance,No Stance,Irrelevant,No Stance,N,N,N
output_255.txt,Irrelevant,Irrelevant,Irrelevant,Irrelevant,N,N,N
output_208.txt,Strong Against,Strong Against,Irrelevant,Strong Against,A,A,N
output_214.txt,Skeptical,Skeptical,Question,Skeptical,N,N,N
output_271.txt,No Stance,Irrelevant,No Stance,No Stance,N,N,N
output_162.txt,Weak Favor,Strong Favor,Weak Favor,Strong Favor,F,F,F
output_161.txt,Skeptical,Skeptical,Skeptical,Skeptical,N,N,N
